symbol,accuracy,strategy_return,buy_hold_return,performance
AAPL,0.4557823129251701,-0.12233298225133293,-0.12362131757596861,0.001288335324635681
MSFT,0.46258503401360546,-0.03696187143670171,-0.11531330328634104,0.07835143184963933
JPM,0.5034013605442177,0.10749406234222758,0.050701497404004536,0.056792564938223045
V,0.4965986394557823,-0.012452674441171152,-0.006367948118875755,-0.006084726322295397
JNJ,0.48299319727891155,-0.07399695217405555,0.007173462221261584,-0.08117041439531714
UNH,0.564625850340136,0.09453341032218154,0.0869669153402075,0.007566494981974037
TSLA,0.4557823129251701,-0.4441387038211245,-0.5008711712133382,0.056732467392213715
HD,0.5102040816326531,0.07622800798986074,0.07622800798986074,0.0
WMT,0.5102040816326531,0.18304833594867342,0.1394528019917205,0.043595533956952925
PG,0.5306122448979592,0.054837138059916635,0.054837138059916635,0.0
XOM,0.5102040816326531,0.03249735433160317,0.1474679624642936,-0.11497060813269044
CVX,0.5170068027210885,0.0073484888964689965,0.03517434945436548,-0.027825860557896487
BA,0.42857142857142855,-0.005190503799793134,0.4580177144446842,-0.46320821824447733
CAT,0.48299319727891155,0.019678216678442384,0.11615852864651699,-0.0964803119680746
T,0.5170068027210885,-0.08710092096643784,-0.10525234378498594,0.01815142281854809
VZ,0.4897959183673469,-0.12658448564360036,-0.2107382341958226,0.08415374855222224
LIN,0.4897959183673469,0.030545129647500557,0.03214971705593639,-0.0016045874084358314
APD,0.4557823129251701,0.2571667722308615,0.29007638084284393,-0.032909608611982444
NEE,0.4965986394557823,0.10846877718549508,0.10846877718549508,0.0
DUK,0.4965986394557823,-0.06679725342265419,-0.05957980149845221,-0.0072174519242019786
AMT,0.5170068027210885,-0.031470894919786496,-0.14371035163794577,0.11223945671815927
PLD,0.5102040816326531,-0.08605978105549705,-0.08605978105549705,0.0
