symbol,accuracy,strategy_return,buy_hold_return,performance,sharpe_ratio,sortino_ratio,max_drawdown,volatility
GOOGL,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
INTC,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
AAPL,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
MSFT,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
NVDA,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
ORCL,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
AMZN,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
CRM,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
TXN,0.47619047619047616,0.14786183288894672,0.2041964079648968,-0.05633457507595008,15.835104779720249,15.526400461717238,-0.12262398579330921,0.03766962924568456
CSCO,0.47619047619047616,0.14786183288894672,0.2041964079648968,-0.05633457507595008,15.835104779720249,15.526400461717238,-0.12262398579330921,0.03766962924568456
QCOM,0.47619047619047616,0.14786183288894672,0.2041964079648968,-0.05633457507595008,15.835104779720249,15.526400461717238,-0.12262398579330921,0.03766962924568456
AMD,0.3492063492063492,-0.09252333677092694,-0.07821217653400647,-0.014311160236920473,-9.390601439395208,-11.230519544619291,-0.15429284358485357,0.036774388418828824
AVGO,0.47619047619047616,0.14786183288894672,0.2041964079648968,-0.05633457507595008,15.835104779720249,15.526400461717238,-0.12262398579330921,0.03766962924568456
ADBE,0.47619047619047616,0.14786183288894672,0.2041964079648968,-0.05633457507595008,15.835104779720249,15.526400461717238,-0.12262398579330921,0.03766962924568456
MA,0.4603174603174603,0.03815257859450183,0.2041964079648968,-0.16604382937039497,4.382143072724164,4.70099803560079,-0.15297810142951815,0.057108696770764876
WFC,0.5238095238095238,-0.039344532085158423,0.03261432602365044,-0.07195885810880887,-2.7551851664857865,-3.057994971914785,-0.19055683577294114,0.039907899277936094
C,0.5238095238095238,-0.039344532085158423,0.03261432602365044,-0.07195885810880887,-2.7551851664857865,-3.057994971914785,-0.19055683577294114,0.039907899277936094
GS,0.4603174603174603,0.03815257859450183,0.2041964079648968,-0.16604382937039497,4.382143072724164,4.70099803560079,-0.15297810142951815,0.057108696770764876
V,0.4603174603174603,0.03815257859450183,0.2041964079648968,-0.16604382937039497,4.382143072724164,4.70099803560079,-0.15297810142951815,0.057108696770764876
JPM,0.4603174603174603,0.03815257859450183,0.2041964079648968,-0.16604382937039497,4.382143072724164,4.70099803560079,-0.15297810142951815,0.057108696770764876
BAC,0.4603174603174603,0.03815257859450183,0.2041964079648968,-0.16604382937039497,4.382143072724164,4.70099803560079,-0.15297810142951815,0.057108696770764876
AXP,0.5238095238095238,-0.039344532085158423,0.03261432602365044,-0.07195885810880887,-2.7551851664857865,-3.057994971914785,-0.19055683577294114,0.039907899277936094
SCHW,0.5238095238095238,-0.039344532085158423,0.03261432602365044,-0.07195885810880887,-2.7551851664857865,-3.057994971914785,-0.19055683577294114,0.039907899277936094
BLK,0.5238095238095238,-0.039344532085158423,0.03261432602365044,-0.07195885810880887,-2.7551851664857865,-3.057994971914785,-0.19055683577294114,0.039907899277936094
PNC,0.49206349206349204,-0.12008944957136436,0.022253725049436346,-0.1423431746208007,-8.536642050383996,-5.9472938269081626,-0.18533545653904882,0.050155252745155615
USB,0.5238095238095238,-0.039344532085158423,0.03261432602365044,-0.07195885810880887,-2.7551851664857865,-3.057994971914785,-0.19055683577294114,0.039907899277936094
DHR,0.4126984126984127,-0.2685101550053758,-0.256637168141592,-0.011872986863783797,-20.015247079682606,-32.58478100226988,-0.2874940607830099,0.0572531560975718
TMO,0.4126984126984127,-0.2685101550053758,-0.256637168141592,-0.011872986863783797,-20.015247079682606,-32.58478100226988,-0.2874940607830099,0.0572531560975718
BMY,0.4126984126984127,-0.2685101550053758,-0.256637168141592,-0.011872986863783797,-20.015247079682606,-32.58478100226988,-0.2874940607830099,0.0572531560975718
JNJ,0.47619047619047616,-0.0813006777038221,0.03261432602365044,-0.11391500372747254,-7.0352211140373955,-8.32195456323875,-0.18108707926610365,0.04069297666698361
ABBV,0.47619047619047616,0.06297144555013334,0.022253725049436346,0.040717720500697,5.880423005306644,5.875214025911726,-0.1506263468805221,0.06264598691832071
UNH,0.47619047619047616,-0.0813006777038221,0.03261432602365044,-0.11391500372747254,-7.0352211140373955,-8.32195456323875,-0.18108707926610365,0.04069297666698361
PFE,0.47619047619047616,-0.0813006777038221,0.03261432602365044,-0.11391500372747254,-7.0352211140373955,-8.32195456323875,-0.18108707926610365,0.04069297666698361
LLY,0.47619047619047616,0.06297144555013334,0.022253725049436346,0.040717720500697,5.880423005306644,5.875214025911726,-0.1506263468805221,0.06264598691832071
