symbol,accuracy,strategy_return,buy_hold_return,performance,sharpe_ratio,sortino_ratio,max_drawdown,volatility
META,0.47619047619047616,-0.22579579401339578,-0.256637168141592,0.03084137412819621,-16.69283888981168,-26.159937426468847,-0.2997946854654327,0.05548589103475364
CRM,0.4603174603174603,0.05884782101232355,0.2041965026889292,-0.14534868167660564,5.799457531210628,7.488292511236708,-0.14567762964333392,0.05720956179404717
AMZN,0.4603174603174603,0.05884782101232355,0.2041965026889292,-0.14534868167660564,5.799457531210628,7.488292511236708,-0.14567762964333392,0.05720956179404717
MSFT,0.4603174603174603,0.05884782101232355,0.2041965026889292,-0.14534868167660564,5.799457531210628,7.488292511236708,-0.14567762964333392,0.05720956179404717
AAPL,0.4603174603174603,0.05884782101232355,0.2041965026889292,-0.14534868167660564,5.799457531210628,7.488292511236708,-0.14567762964333392,0.05720956179404717
GOOGL,0.4603174603174603,0.05884782101232355,0.2041965026889292,-0.14534868167660564,5.799457531210628,7.488292511236708,-0.14567762964333392,0.05720956179404717
ORCL,0.47619047619047616,-0.22579579401339578,-0.256637168141592,0.03084137412819621,-16.69283888981168,-26.159937426468847,-0.2997946854654327,0.05548589103475364
NVDA,0.4603174603174603,0.05884782101232355,0.2041965026889292,-0.14534868167660564,5.799457531210628,7.488292511236708,-0.14567762964333392,0.05720956179404717
INTC,0.4603174603174603,0.05884782101232355,0.2041965026889292,-0.14534868167660564,5.799457531210628,7.488292511236708,-0.14567762964333392,0.05720956179404717
QCOM,0.4126984126984127,-0.18211277391831826,-0.07757440897994139,-0.10453836493837687,-15.877352010015404,-19.589542788455596,-0.22991887264927843,0.04628212803473317
ADBE,0.4126984126984127,-0.18211277391831826,-0.07757440897994139,-0.10453836493837687,-15.877352010015404,-19.589542788455596,-0.22991887264927843,0.04628212803473317
CSCO,0.4126984126984127,-0.18211277391831826,-0.07757440897994139,-0.10453836493837687,-15.877352010015404,-19.589542788455596,-0.22991887264927843,0.04628212803473317
AMD,0.4603174603174603,0.05884782101232355,0.2041965026889292,-0.14534868167660564,5.799457531210628,7.488292511236708,-0.14567762964333392,0.05720956179404717
AVGO,0.4126984126984127,-0.18211277391831826,-0.07757440897994139,-0.10453836493837687,-15.877352010015404,-19.589542788455596,-0.22991887264927843,0.04628212803473317
TXN,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
JPM,0.47619047619047616,-0.22579579401339578,-0.256637168141592,0.03084137412819621,-16.69283888981168,-26.159937426468847,-0.2997946854654327,0.05548589103475364
V,0.47619047619047616,-0.22579579401339578,-0.256637168141592,0.03084137412819621,-16.69283888981168,-26.159937426468847,-0.2997946854654327,0.05548589103475364
BAC,0.4126984126984127,-0.18211277391831826,-0.07757440897994139,-0.10453836493837687,-15.877352010015404,-19.589542788455596,-0.22991887264927843,0.04628212803473317
GS,0.4126984126984127,-0.18211277391831826,-0.07757440897994139,-0.10453836493837687,-15.877352010015404,-19.589542788455596,-0.22991887264927843,0.04628212803473317
WFC,0.47619047619047616,-0.22579579401339578,-0.256637168141592,0.03084137412819621,-16.69283888981168,-26.159937426468847,-0.2997946854654327,0.05548589103475364
MA,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
AXP,0.47619047619047616,-0.22579579401339578,-0.256637168141592,0.03084137412819621,-16.69283888981168,-26.159937426468847,-0.2997946854654327,0.05548589103475364
C,0.47619047619047616,-0.22579579401339578,-0.256637168141592,0.03084137412819621,-16.69283888981168,-26.159937426468847,-0.2997946854654327,0.05548589103475364
BLK,0.47619047619047616,-0.22579579401339578,-0.256637168141592,0.03084137412819621,-16.69283888981168,-26.159937426468847,-0.2997946854654327,0.05548589103475364
SCHW,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
PNC,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
USB,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
PFE,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
UNH,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
JNJ,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
ABBV,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
TMO,0.5396825396825397,0.13162223952365593,-0.07821197019048454,0.20983420971414046,11.74782509154816,14.28774129174767,-0.13847144914739626,0.04835862864950312
ABT,0.42857142857142855,-0.09898012459255712,-0.05828136420956609,-0.04069876038299103,-9.403502976472545,-14.228171219004855,-0.19394376291956575,0.03919610297430028
DHR,0.42857142857142855,-0.09898012459255712,-0.05828136420956609,-0.04069876038299103,-9.403502976472545,-14.228171219004855,-0.19394376291956575,0.03919610297430028
LLY,0.5238095238095238,-0.00817100394996828,0.03261418709166852,-0.040785191041636804,0.6538143187462783,0.8531281147072648,-0.1394465206948016,0.044152623297733055
